JUEGOS PSX	         REGION	   CODIGO
		
BLOODY ROAR 2	       NTSC 	   SCUS-94424
BUGS Y TAZ	         PAL	     SLES-02896
CASTLEVANIA SOTN     NTSC	     SLUS-00067
CHOCOBO RACING 	     NTSC	     SLUS-00844
CRASH BANDICOOT	     NTSC	     SCUS-94900
CRASH BANDICOOT 2    NTSC	     SCUS-94154
CRASH BASH	         NTSC	     SCUS-94570
DISNEY TARZAN	       PAL	     SCES-01519
HARRY POTTER 1       NTSC	     SLUS-01415
HARRY POTTER 2 	     NTSC	     SLUS-01503
LA SIRENITA 2	       NTSC	     SLUS-01286
LOONEY TUNES RACING  NTSC	     SLUS-01145
MAGICAL TETRIS	     PAL	     SCES-02154
PACMAN WORLD	       NTSC	     SLUS-00439
PETER PAN NEVERLAND  PAL	     SCES-03715
POOL ACADEMY	       PAL	     SLES-02697
RAYMAN 2	           PAL	     SLES-02906
SCOOBY DOO	         NTSC	     SLUS-01396
SHEEP RAIDER 	       NTSC	     SLUS-01369
TIGER HONEY HUNT     NTSC	     SLUS-01210


